variable,permutation,dropout_loss,label,k,overampling
BOD,0,0.531613638,MAX,1,Baseline
COD,0,0.568560687,MAX,1,Baseline
Conductivity,0,0.541694559,MAX,1,Baseline
DO,0,0.534285923,MAX,1,Baseline
pH,0,0.531854355,MAX,1,Baseline
SS,0,0.531844877,MAX,1,Baseline
TN,0,0.537771386,MAX,1,Baseline
TP,0,0.534109696,MAX,1,Baseline
BOD,0,0.498249748,MAX,2,Baseline
COD,0,0.544186304,MAX,2,Baseline
Conductivity,0,0.508863353,MAX,2,Baseline
DO,0,0.512945317,MAX,2,Baseline
pH,0,0.510067757,MAX,2,Baseline
SS,0,0.508772881,MAX,2,Baseline
TN,0,0.516418576,MAX,2,Baseline
TP,0,0.512760936,MAX,2,Baseline
BOD,0,0.532518897,MAX,3,Baseline
COD,0,0.568967626,MAX,3,Baseline
Conductivity,0,0.536376618,MAX,3,Baseline
DO,0,0.535160417,MAX,3,Baseline
pH,0,0.535111524,MAX,3,Baseline
SS,0,0.535385331,MAX,3,Baseline
TN,0,0.536389246,MAX,3,Baseline
TP,0,0.540343565,MAX,3,Baseline
BOD,0,0.531277867,MAX,4,Baseline
COD,0,0.554281126,MAX,4,Baseline
Conductivity,0,0.536600788,MAX,4,Baseline
DO,0,0.529532007,MAX,4,Baseline
pH,0,0.530208676,MAX,4,Baseline
SS,0,0.530525789,MAX,4,Baseline
TN,0,0.537077559,MAX,4,Baseline
TP,0,0.531904417,MAX,4,Baseline
BOD,0,0.470795427,MAX,5,Baseline
COD,0,0.502452004,MAX,5,Baseline
Conductivity,0,0.47524624,MAX,5,Baseline
DO,0,0.484465446,MAX,5,Baseline
pH,0,0.479871574,MAX,5,Baseline
SS,0,0.490192178,MAX,5,Baseline
TN,0,0.483782406,MAX,5,Baseline
TP,0,0.488059834,MAX,5,Baseline
BOD,0,0.472254997,MAX,1,SMOTE
COD,0,0.513439845,MAX,1,SMOTE
Conductivity,0,0.474607803,MAX,1,SMOTE
DO,0,0.478523718,MAX,1,SMOTE
pH,0,0.473085366,MAX,1,SMOTE
SS,0,0.471981932,MAX,1,SMOTE
TN,0,0.474413504,MAX,1,SMOTE
TP,0,0.47573297,MAX,1,SMOTE
BOD,0,0.467157023,MAX,2,SMOTE
COD,0,0.504563418,MAX,2,SMOTE
Conductivity,0,0.467468283,MAX,2,SMOTE
DO,0,0.478743566,MAX,2,SMOTE
pH,0,0.469294015,MAX,2,SMOTE
SS,0,0.469796523,MAX,2,SMOTE
TN,0,0.472392913,MAX,2,SMOTE
TP,0,0.468864978,MAX,2,SMOTE
BOD,0,0.465321939,MAX,3,SMOTE
COD,0,0.486373773,MAX,3,SMOTE
Conductivity,0,0.457511949,MAX,3,SMOTE
DO,0,0.457670314,MAX,3,SMOTE
pH,0,0.458175429,MAX,3,SMOTE
SS,0,0.459811475,MAX,3,SMOTE
TN,0,0.454635303,MAX,3,SMOTE
TP,0,0.465041143,MAX,3,SMOTE
BOD,0,0.468219741,MAX,4,SMOTE
COD,0,0.500427447,MAX,4,SMOTE
Conductivity,0,0.465856943,MAX,4,SMOTE
DO,0,0.468403688,MAX,4,SMOTE
pH,0,0.466676306,MAX,4,SMOTE
SS,0,0.470553685,MAX,4,SMOTE
TN,0,0.466711543,MAX,4,SMOTE
TP,0,0.466844849,MAX,4,SMOTE
BOD,0,0.464721121,MAX,5,SMOTE
COD,0,0.500383294,MAX,5,SMOTE
Conductivity,0,0.462991495,MAX,5,SMOTE
DO,0,0.468965565,MAX,5,SMOTE
pH,0,0.462632674,MAX,5,SMOTE
SS,0,0.466993215,MAX,5,SMOTE
TN,0,0.465684046,MAX,5,SMOTE
TP,0,0.464197543,MAX,5,SMOTE
BOD,0,0.468874212,MAX,1,ADASYN
COD,0,0.496001456,MAX,1,ADASYN
Conductivity,0,0.467764185,MAX,1,ADASYN
DO,0,0.470516429,MAX,1,ADASYN
pH,0,0.465203135,MAX,1,ADASYN
SS,0,0.464134421,MAX,1,ADASYN
TN,0,0.466650745,MAX,1,ADASYN
TP,0,0.471446158,MAX,1,ADASYN
BOD,0,0.466529982,MAX,2,ADASYN
COD,0,0.503687328,MAX,2,ADASYN
Conductivity,0,0.466024322,MAX,2,ADASYN
DO,0,0.477532768,MAX,2,ADASYN
pH,0,0.468566743,MAX,2,ADASYN
SS,0,0.467853496,MAX,2,ADASYN
TN,0,0.472728961,MAX,2,ADASYN
TP,0,0.468461766,MAX,2,ADASYN
BOD,0,0.471818723,MAX,3,ADASYN
COD,0,0.503817068,MAX,3,ADASYN
Conductivity,0,0.466519994,MAX,3,ADASYN
DO,0,0.4700462,MAX,3,ADASYN
pH,0,0.469344782,MAX,3,ADASYN
SS,0,0.469680978,MAX,3,ADASYN
TN,0,0.465186775,MAX,3,ADASYN
TP,0,0.472114918,MAX,3,ADASYN
BOD,0,0.473310154,MAX,4,ADASYN
COD,0,0.509588012,MAX,4,ADASYN
Conductivity,0,0.468980042,MAX,4,ADASYN
DO,0,0.470869743,MAX,4,ADASYN
pH,0,0.469896257,MAX,4,ADASYN
SS,0,0.472230783,MAX,4,ADASYN
TN,0,0.471344096,MAX,4,ADASYN
TP,0,0.470535723,MAX,4,ADASYN
BOD,0,0.465129787,MAX,5,ADASYN
COD,0,0.503353025,MAX,5,ADASYN
Conductivity,0,0.463298835,MAX,5,ADASYN
DO,0,0.469012272,MAX,5,ADASYN
pH,0,0.46351453,MAX,5,ADASYN
SS,0,0.464807807,MAX,5,ADASYN
TN,0,0.465190296,MAX,5,ADASYN
TP,0,0.466324581,MAX,5,ADASYN
